2022/10/25 23:16:40 [error] 20540#20616: *1 CreateFile() "C:\Users\Sabrina\Downloads\nginx-1.23.2/html/favicon.ico" failed (2: El sistema no puede encontrar el archivo especificado), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/10/25 23:58:48 [error] 21344#17140: *1 "C:/Desafios/clase30/index.html" is not found (3: El sistema no puede encontrar la ruta especificada), client: 127.0.0.1, server: nginx_node, request: "GET / HTTP/1.1", host: "localhost"
2022/10/25 23:59:02 [error] 21344#17140: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost"
2022/10/25 23:59:04 [error] 21344#17140: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost"
2022/10/25 23:59:06 [error] 21344#17140: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost"
2022/10/25 23:59:08 [error] 21344#17140: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost"
2022/10/25 23:59:38 [error] 21344#17140: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost"
2022/10/25 23:59:40 [error] 21344#17140: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost"
2022/10/25 23:59:42 [error] 21344#17140: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost"
2022/10/25 23:59:44 [error] 21344#17140: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost"
2022/10/26 00:05:29 [error] 21344#17140: *12 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost"
2022/10/26 00:05:31 [error] 21344#17140: *12 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost"
2022/10/26 00:05:33 [error] 21344#17140: *12 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost"
2022/10/26 00:05:36 [error] 21344#17140: *12 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost"
2022/10/26 00:05:41 [error] 21344#17140: *12 CreateFile() "C:/Desafios/clase30/info" failed (3: El sistema no puede encontrar la ruta especificada), client: 127.0.0.1, server: nginx_node, request: "GET /info HTTP/1.1", host: "localhost"
2022/10/26 00:05:47 [error] 21344#17140: *12 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost"
2022/10/26 00:05:49 [error] 21344#17140: *12 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost"
2022/10/26 00:05:51 [error] 21344#17140: *12 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost"
2022/10/26 00:05:53 [error] 21344#17140: *12 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost"
2022/10/26 23:46:20 [error] 16532#8108: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost"
2022/10/26 23:49:04 [error] 6232#7956: *1 CreateFile() "C:\Users\Sabrina\Documents\CoderHouse\Backend\Desafios\clase30\nginx/../info" failed (2: El sistema no puede encontrar el archivo especificado), client: 127.0.0.1, server: nginx_node, request: "GET /info HTTP/1.1", host: "localhost"
2022/10/26 23:49:04 [error] 6232#7956: *1 CreateFile() "C:\Users\Sabrina\Documents\CoderHouse\Backend\Desafios\clase30\nginx/../favicon.ico" failed (2: El sistema no puede encontrar el archivo especificado), client: 127.0.0.1, server: nginx_node, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/info"
2022/10/26 23:49:37 [error] 6232#7956: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8082/api/randoms", host: "localhost"
2022/10/26 23:49:41 [error] 6232#7956: *6 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost"
2022/10/26 23:49:43 [error] 6232#7956: *6 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost"
2022/10/26 23:49:46 [error] 6232#7956: *6 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost"
2022/10/26 23:49:46 [error] 6232#7956: *6 no live upstreams while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://node_app/api/randoms", host: "localhost"
2022/10/27 00:02:03 [error] 6232#7956: *11 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8085/api/randoms", host: "localhost"
2022/10/27 00:02:05 [error] 6232#7956: *11 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8083/api/randoms", host: "localhost"
2022/10/27 00:02:07 [error] 6232#7956: *11 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: nginx_node, request: "GET /api/randoms HTTP/1.1", upstream: "http://127.0.0.1:8084/api/randoms", host: "localhost"
